WY	date	CoalCreek reg
2008	7/18/2008	1.023
2008	7/19/2008	0.861
2008	7/20/2008	0.789
2008	7/21/2008	0.783
2008	7/22/2008	0.884
2008	7/23/2008	0.828
2008	7/24/2008	0.912
2008	7/25/2008	0.682
2008	7/26/2008	0.554
2008	7/27/2008	0.499
2008	7/28/2008	0.519
2008	7/29/2008	0.461
2008	7/30/2008	0.381
2008	7/31/2008	0.341
2008	8/1/2008	0.318
2008	8/2/2008	0.292
2008	8/3/2008	0.275
2008	8/4/2008	0.262
2008	8/5/2008	0.270
2008	8/6/2008	0.323
2008	8/7/2008	0.336
2008	8/8/2008	0.514
2008	8/9/2008	0.414
2008	8/10/2008	0.332
2008	8/11/2008	0.288
2008	8/12/2008	0.241
2008	8/13/2008	0.211
2008	8/14/2008	0.191
2008	8/15/2008	0.182
2008	8/16/2008	0.182
2008	8/17/2008	0.170
2008	8/18/2008	0.154
2008	8/19/2008	0.146
2008	8/20/2008	0.142
2008	8/21/2008	0.138
2008	8/22/2008	0.127
2008	8/23/2008	0.123
2008	8/24/2008	0.123
2008	8/25/2008	0.131
2008	8/26/2008	0.146
2008	8/27/2008	0.142
2008	8/28/2008	0.142
2008	8/29/2008	0.115
2008	8/30/2008	0.092
2008	8/31/2008	0.092
2008	9/1/2008	0.096
2008	9/2/2008	0.096
2008	9/3/2008	0.080
2008	9/4/2008	0.077
2008	9/5/2008	0.077
2008	9/6/2008	0.077
2008	9/7/2008	0.069
2008	9/8/2008	0.065
2008	9/9/2008	0.065
2008	9/10/2008	0.077
2008	9/11/2008	0.092
2008	9/12/2008	0.123
2008	9/13/2008	0.103
2008	9/14/2008	0.092
2008	9/15/2008	0.088
2008	9/16/2008	0.084
2008	9/17/2008	0.084
2008	9/18/2008	0.092
2008	9/19/2008	0.077
2008	9/20/2008	0.077
2008	9/21/2008	0.096
2008	9/22/2008	0.100
2008	9/23/2008	0.080
2008	9/24/2008	0.077
2008	9/25/2008	0.073
2008	9/26/2008	0.069
2008	9/27/2008	0.073
2008	9/28/2008	0.077
2008	9/29/2008	0.073
2008	9/30/2008	0.073
2009	10/1/2008	0.073
2009	10/2/2008	0.069
2009	10/3/2008	0.065
2009	10/4/2008	0.073
2009	10/5/2008	0.096
2009	10/6/2008	0.088
2009	10/7/2008	0.077
2009	10/8/2008	0.077
2009	10/9/2008	0.077
2009	10/10/2008	0.073
2009	10/11/2008	0.077
2009	10/12/2008	0.103
2009	10/13/2008	0.088
2009	10/14/2008	0.088
2009	10/15/2008	0.084
2009	10/16/2008	0.080
2009	10/17/2008	0.080
2009	10/18/2008	0.077
2009	10/19/2008	0.077
2009	10/20/2008	0.077
2009	10/21/2008	0.080
2009	10/22/2008	0.073
2009	10/23/2008	0.069
2009	10/24/2008	0.073
2009	10/25/2008	0.069
2009	10/26/2008	0.073
2009	10/27/2008	0.069
2009	10/28/2008	0.069
2009	10/29/2008	0.065
2009	10/30/2008	0.065
2009	10/31/2008	0.062
2009	11/1/2008	0.065
2009	11/2/2008	0.069
2009	11/3/2008	0.073
2009	11/4/2008	0.077
2009	11/5/2008	0.080
2009	11/6/2008	0.069
2009	11/7/2008	0.065
2009	11/8/2008	0.077
2009	11/9/2008	0.073
2009	11/10/2008	0.069
2009	11/11/2008	0.073
2009	11/12/2008	0.073
2009	11/13/2008	0.069
2009	11/14/2008	0.065
2009	11/15/2008	0.053
2009	11/16/2008	0.062
2009	11/17/2008	0.062
2009	11/18/2008	0.062
2009	11/19/2008	0.058
2009	11/20/2008	0.058
2009	11/21/2008	0.058
2009	11/22/2008	0.058
2009	11/23/2008	0.058
2009	11/24/2008	0.063
2009	11/25/2008	0.062
2009	11/26/2008	0.062
2009	11/27/2008	0.062
2009	11/28/2008	0.062
2009	11/29/2008	0.062
2009	11/30/2008	0.062
2009	12/1/2008	0.062
2009	12/2/2008	0.062
2009	12/3/2008	0.065
2009	12/4/2008	0.065
2009	12/5/2008	0.063
2009	12/6/2008	0.065
2009	12/7/2008	0.058
2009	12/8/2008	0.062
2009	12/9/2008	0.058
2009	12/10/2008	0.058
2009	12/11/2008	0.058
2009	12/12/2008	0.058
2009	12/13/2008	0.073
2009	12/14/2008	0.065
2009	12/15/2008	0.058
2009	12/16/2008	0.069
2009	12/17/2008	0.073
2009	12/18/2008	0.073
2009	12/19/2008	0.069
2009	12/20/2008	0.065
2009	12/21/2008	0.063
2009	12/22/2008	0.065
2009	12/23/2008	0.058
2009	12/24/2008	0.058
2009	12/25/2008	0.062
2009	12/26/2008	0.058
2009	12/27/2008	0.048
2009	12/28/2008	0.058
2009	12/29/2008	0.058
2009	12/30/2008	0.058
2009	12/31/2008	0.058
2009	1/1/2009	0.063
2009	1/2/2009	0.063
2009	1/3/2009	0.058
2009	1/4/2009	0.053
2009	1/5/2009	0.044
2009	1/6/2009	0.058
2009	1/7/2009	0.058
2009	1/8/2009	0.053
2009	1/9/2009	0.058
2009	1/10/2009	0.048
2009	1/11/2009	0.058
2009	1/12/2009	0.058
2009	1/13/2009	0.053
2009	1/14/2009	0.048
2009	1/15/2009	0.053
2009	1/16/2009	0.048
2009	1/17/2009	0.044
2009	1/18/2009	0.044
2009	1/19/2009	0.048
2009	1/20/2009	0.048
2009	1/21/2009	0.048
2009	1/22/2009	0.058
2009	1/23/2009	0.084
2009	1/24/2009	0.100
2009	1/25/2009	0.092
2009	1/26/2009	0.073
2009	1/27/2009	0.058
2009	1/28/2009	0.058
2009	1/29/2009	0.058
2009	1/30/2009	0.063
2009	1/31/2009	0.058
2009	2/1/2009	0.058
2009	2/2/2009	0.058
2009	2/3/2009	0.063
2009	2/4/2009	0.058
2009	2/5/2009	0.063
2009	2/6/2009	0.058
